iteration,layer_1_channels,layer_1_filter,layer_1_padding,layer_1_param_count,layer_2_channels,layer_2_filter,layer_2_padding,layer_2_param_count,layer_3_channels,layer_3_filter,layer_3_padding,layer_3_param_count,total_param_count
310,128,3,1,3584,256,1,2,33024,64,1,1,16448,53056
311,128,3,1,3584,128,5,0,409728,256,3,2,295168,708480
312,128,3,1,3584,64,3,2,73792,32,3,1,18464,95840
313,128,3,1,3584,256,5,2,819456,64,1,0,16448,839488
314,128,3,1,3584,64,1,2,8256,256,1,1,16640,28480
315,128,3,1,3584,256,3,0,295168,256,5,0,1638656,1937408
316,128,3,1,3584,256,5,2,819456,64,3,1,147520,970560
317,128,3,1,3584,64,5,1,204864,64,5,2,102464,310912
318,128,3,1,3584,32,1,2,4128,256,3,0,73984,81696
319,128,3,1,3584,256,1,2,33024,256,5,2,1638656,1675264
320,128,3,1,3584,128,5,0,409728,256,1,2,33024,446336
321,128,3,1,3584,256,1,2,33024,32,1,2,8224,44832
322,128,3,1,3584,64,3,0,73792,256,3,1,147712,225088
323,128,3,1,3584,32,1,2,4128,128,1,1,4224,11936
324,128,3,1,3584,64,1,2,8256,64,5,1,102464,114304
325,128,3,1,3584,256,1,2,33024,64,3,1,147520,184128
326,128,3,1,3584,256,5,1,819456,256,3,2,590080,1413120
327,128,3,1,3584,256,1,1,33024,256,3,1,590080,626688
328,128,3,1,3584,256,3,2,295168,64,5,2,409664,708416
329,128,3,1,3584,64,5,2,204864,64,1,1,4160,212608
330,128,3,1,3584,256,1,2,33024,128,1,1,32896,69504
331,128,3,1,3584,64,5,2,204864,128,5,2,204928,413376
332,128,3,1,3584,16,5,1,51216,128,5,2,51328,106128
333,128,3,1,3584,64,1,2,8256,256,5,1,409856,421696
334,128,3,1,3584,256,1,1,33024,64,1,1,16448,53056
335,128,3,1,3584,128,1,0,16512,32,3,2,36896,56992
336,128,3,1,3584,64,1,0,8256,64,1,2,4160,16000
337,128,3,1,3584,64,1,1,8256,256,5,1,409856,421696
338,128,3,1,3584,64,3,2,73792,256,1,2,16640,94016
339,128,3,1,3584,16,5,2,51216,256,3,2,37120,91920
340,128,3,1,3584,256,3,0,295168,256,5,0,1638656,1937408
341,128,3,1,3584,64,5,2,204864,256,5,2,409856,618304
342,128,3,1,3584,64,5,2,204864,64,3,0,36928,245376
343,128,3,1,3584,64,1,1,8256,256,5,0,409856,421696
344,128,3,1,3584,256,3,0,295168,256,1,2,65792,364544
345,128,3,1,3584,256,5,1,819456,128,3,2,295040,1118080
346,128,3,1,3584,16,1,2,2064,128,1,0,2176,7824
347,128,3,1,3584,32,1,1,4128,256,5,2,205056,212768
348,128,3,1,3584,128,3,0,147584,128,5,0,409728,560896
349,128,3,1,3584,256,1,1,33024,64,3,2,147520,184128
350,128,3,1,3584,256,5,2,819456,256,5,2,1638656,2461696
351,128,3,1,3584,256,3,0,295168,256,5,0,1638656,1937408
352,128,3,1,3584,64,1,2,8256,256,5,0,409856,421696
353,128,3,1,3584,16,3,0,18448,64,5,1,25664,47696
354,128,3,1,3584,256,5,1,819456,64,3,2,147520,970560
355,128,3,1,3584,32,3,2,36896,256,3,2,73984,114464
356,128,3,1,3584,256,3,1,295168,256,3,0,590080,888832
357,128,3,1,3584,256,5,2,819456,256,3,1,590080,1413120
358,128,3,1,3584,256,1,1,33024,256,5,2,1638656,1675264
359,128,3,1,3584,256,5,0,819456,64,3,2,147520,970560
360,128,3,1,3584,128,3,2,147584,64,5,1,204864,356032
361,128,3,1,3584,256,1,1,33024,256,5,0,1638656,1675264
362,128,3,1,3584,128,1,2,16512,32,5,1,102432,122528
363,128,3,1,3584,64,3,2,73792,64,5,1,102464,179840
364,128,3,1,3584,64,3,0,73792,256,5,1,409856,487232
365,128,3,1,3584,64,3,2,73792,64,5,1,102464,179840
366,128,3,1,3584,256,5,2,819456,256,5,0,1638656,2461696
367,128,3,1,3584,256,5,1,819456,128,3,2,295040,1118080
368,128,3,1,3584,256,3,2,295168,256,3,1,590080,888832
369,128,3,1,3584,256,5,0,819456,256,1,2,65792,888832
370,128,3,1,3584,256,5,2,819456,256,5,2,1638656,2461696
371,128,3,1,3584,32,1,0,4128,64,5,2,51264,58976
372,128,3,1,3584,256,5,1,819456,128,5,1,819328,1642368
373,128,3,1,3584,64,1,2,8256,32,5,1,51232,63072
374,128,3,1,3584,64,3,2,73792,128,5,2,204928,282304
375,128,3,1,3584,128,3,1,147584,256,3,1,295168,446336
376,128,3,1,3584,64,5,2,204864,64,5,2,102464,310912
377,128,3,1,3584,64,5,2,204864,64,3,2,36928,245376
378,128,3,1,3584,256,1,2,33024,64,5,1,409664,446272
379,128,3,1,3584,64,5,0,204864,256,5,1,409856,618304
380,128,3,1,3584,64,5,1,204864,64,5,1,102464,310912
381,128,3,1,3584,64,3,2,73792,16,1,0,1040,78416
382,128,3,1,3584,256,3,0,295168,128,1,0,32896,331648
383,128,3,1,3584,256,3,1,295168,256,3,0,590080,888832
384,128,3,1,3584,256,3,2,295168,64,3,1,147520,446272
385,128,3,1,3584,64,3,2,73792,256,5,1,409856,487232
386,128,3,1,3584,64,3,2,73792,64,1,2,4160,81536
387,128,3,1,3584,256,5,2,819456,256,5,2,1638656,2461696
388,128,3,1,3584,128,1,2,16512,256,1,1,33024,53120
389,128,3,1,3584,256,1,1,33024,64,5,1,409664,446272
390,128,3,1,3584,64,5,1,204864,256,5,0,409856,618304
391,128,3,1,3584,256,1,2,33024,32,5,1,204832,241440
392,128,3,1,3584,128,1,2,16512,256,3,2,295168,315264
393,128,3,1,3584,64,3,2,73792,256,5,2,409856,487232
394,128,3,1,3584,256,3,0,295168,256,3,1,590080,888832
395,128,3,1,3584,256,5,2,819456,128,5,2,819328,1642368
396,128,3,1,3584,128,1,2,16512,64,5,2,204864,224960
397,128,3,1,3584,128,5,2,409728,256,5,2,819456,1232768
398,128,3,1,3584,32,5,2,102432,128,3,0,36992,143008
399,128,3,1,3584,256,1,2,33024,16,3,0,36880,73488
400,128,3,1,3584,64,5,2,204864,256,3,1,147712,356160
401,128,3,1,3584,256,3,1,295168,64,5,0,409664,708416
402,128,3,1,3584,256,1,2,33024,256,5,0,1638656,1675264
403,128,3,1,3584,256,5,1,819456,256,5,0,1638656,2461696
404,128,3,1,3584,256,1,2,33024,256,5,1,1638656,1675264
405,128,3,1,3584,128,1,2,16512,128,3,0,147584,167680
406,128,3,1,3584,16,3,1,18448,256,3,2,37120,59152
407,128,3,1,3584,256,3,1,295168,64,5,2,409664,708416
408,128,3,1,3584,256,3,2,295168,256,5,2,1638656,1937408
409,128,3,1,3584,256,5,1,819456,256,5,2,1638656,2461696
410,128,3,1,3584,128,3,2,147584,64,5,1,204864,356032
411,128,3,1,3584,64,3,0,73792,32,5,2,51232,128608
412,128,3,1,3584,16,1,2,2064,256,5,0,102656,108304
413,128,3,1,3584,64,1,1,8256,256,5,0,409856,421696
